epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24968,2.03523,2.47454,0.96765,0.0127,0.55669,0.5131,0.30038,1.56015,2.92334,0.88344,0.000546086,0.000546086,0.000546086
2,12.9607,1.85525,1.51667,0.9201,0.86115,0.58645,0.6472,0.32868,1.42834,1.41955,0.88095,0.00109085,0.00109085,0.00109085
3,18.1216,1.80791,1.35967,0.90708,0.82711,0.58403,0.64244,0.33437,1.50793,1.03711,0.88455,0.0016246,0.0016246,0.0016246
4,22.8908,1.73057,1.23379,0.90857,0.83152,0.57766,0.64383,0.40234,1.23378,0.927,0.86661,0.00161749,0.00161749,0.00161749
5,28.4869,1.72015,1.1546,0.90365,0.84313,0.65096,0.67646,0.40842,1.35061,0.96794,0.86695,0.00160099,0.00160099,0.00160099
6,33.5478,1.7046,1.10286,0.916,0.90661,0.60364,0.68704,0.47828,1.0862,0.76539,0.83535,0.00158448,0.00158448,0.00158448
7,40.1843,1.66139,1.01963,0.89607,0.84131,0.63364,0.65352,0.4262,1.36136,0.89827,0.86332,0.00156798,0.00156798,0.00156798
8,44.9893,1.62212,0.97702,0.88548,0.84073,0.65223,0.67821,0.41989,1.22405,0.75652,0.8511,0.00155148,0.00155148,0.00155148
9,49.5319,1.59533,0.94542,0.89415,0.93121,0.62487,0.67375,0.40289,1.27239,0.74594,0.85955,0.00153497,0.00153497,0.00153497
10,54.2203,1.56911,0.90848,0.87817,0.79263,0.65022,0.69305,0.48464,1.0566,0.66238,0.83262,0.00151847,0.00151847,0.00151847
11,59.3897,1.53535,0.8586,0.86496,0.87609,0.62803,0.71707,0.49319,1.03456,0.66295,0.82971,0.00150197,0.00150197,0.00150197
12,64.6961,1.45227,0.82862,0.8771,0.96118,0.6098,0.70958,0.52116,1.03524,0.66745,0.8365,0.00148546,0.00148546,0.00148546
13,69.551,1.50179,0.80714,0.87646,0.90059,0.66072,0.72304,0.50453,1.0093,0.66847,0.82752,0.00146896,0.00146896,0.00146896
14,76.4103,1.48968,0.78806,0.86721,0.95633,0.62484,0.70146,0.42937,1.19119,0.70275,0.83804,0.00145246,0.00145246,0.00145246
15,81.3722,1.49357,0.79289,0.8699,0.90376,0.64635,0.71114,0.53024,0.9949,0.63936,0.82239,0.00143595,0.00143595,0.00143595
16,86.2558,1.40522,0.7479,0.86303,0.98029,0.61127,0.72927,0.50956,0.98861,0.62227,0.82292,0.00141945,0.00141945,0.00141945
17,90.7142,1.44867,0.76255,0.8638,0.8757,0.64395,0.73271,0.50373,1.18609,0.65642,0.83572,0.00140295,0.00140295,0.00140295
18,95.0437,1.42031,0.73887,0.85916,0.91936,0.63567,0.71126,0.48851,0.89814,0.61683,0.82854,0.00138644,0.00138644,0.00138644
19,99.6264,1.42102,0.75072,0.89229,0.90245,0.63822,0.72115,0.50913,0.99769,0.60692,0.82524,0.00136994,0.00136994,0.00136994
20,106.485,1.41953,0.73047,0.85512,0.92003,0.63057,0.73341,0.52068,0.87549,0.60642,0.8163,0.00135344,0.00135344,0.00135344
21,111.696,1.40581,0.72914,0.86393,0.90361,0.66295,0.74328,0.4719,1.01825,0.68369,0.82682,0.00133693,0.00133693,0.00133693
